Codigo,Materia,Conceito,Situacao
BCJ0204-15,Fenômenos Mecânicos,A,APR
BCJ0205-15,Fenômenos Térmicos,MATR,MATR
BCL0306-15,Biodiversidade,C,APR
BCL0307-15,Transformações Químicas,A,APR
BCM0505-22,Processamento da Informação,B,APR
BCM0506-15,Comunicação e Redes,MATR,MATR
BCN0402-15,Funções de Uma Variável,C,APR
BCS0001-15,Base Experimental das Ciências Naturais,A,APR
BCS0002-25,PROJETO DIRIGIDO,A,APR
BIK0102-15,Estrutura da Matéria,C,APR
BIL0304-15,Evolução e Diversificação da Vida na Terra,D,APR
BIN0406-15,Introdução à Probabilidade e à Estatística,MATR,MATR
BIQ0602-15,Estrutura e Dinâmica Social,B,APR
BIR0603-15,"Ciência, Tecnologia e Sociedade",A,APR
BIS0003-15,Bases Matemáticas,D,APR
BIS0005-15,Bases Computacionais da Ciência,B,APR
ESAE002-23,Desenho Universal e  Tecnologia Assistiva,A,APR
ESMA001-23,Soluções para Desafios  em Engenharia,A,APR
ESMA002-23,Inovações para  Engenharia,B,APR
ESTO005-17,Introdução às  Engenharias,A,APR
ESTO006-17,Materiais e Suas  Propriedades,C,APR
ESTO011-17,Fundamentos de  Desenho Técnico,C,APR
ESTO017-17,Métodos  Experimentais em  Engenharia,MATR,MATR
ESTS002-17,Aeronáutica I-A  ESAE,D,APR
ESTS003-17,Introdução à  Astronáutica  Opção Limitada,B,APR
