Codigo,Materia_Ideal,Creditos,Peso
BCJ0203-15,Fenômenos Eletromagnéticos,5,10000
BCK0103-15,Física Quântica,3,10000
BCK0103-22,Física Quântica,3,10000
BCL0308-15,Bioquímica,4,10000
BCM0504-15,Natureza da Informação,3,10000
BCM0505-15,Processamento  da Informação  BCJ,4,10000
BCN0404-15,Geometria Analítica,3,10000
BCN0404-22,Geometria Analítica,3,10000
BCN0405-15,Introdução às Equações Diferenciais Ordinárias,4,10000
BCN0406-15,Introdução à  Probabilidade e à  Estatística  ESTO,4,10000
BCN0407-15,Funções de Várias Variáveis,4,10000
BCSO001-15,Base  Experimental das  Ciências Naturais  BIK,4,10000
BIN406-15,-  Introdução à  Probabilidade e  à Estatística  ESTO,4,10000
BIR0004-15,Bases Epistemológicas da Ciência Moderna,3,10000
ESTI002-17,Eletrônica Digital,6,5000
ESTI003-17,Transformadas em  Sinais e Sistemas  Lineares,4,5000
ESTI004-17,Príncipios de  Comunicação          Créd.,20,5000
ESTI005-17,Sinais Aleatórios  Opção  Limitada,4,5000
ESTI006-17,Processamento Digital  de Sinais,4,5000
ESTI007-17,Comunicação  Digital  ESTI,4,5000
ESTI008-17,Teoria da  Informação e  Códigos  ESTI,4,5000
ESTI010-17,Comunicações  Ópticas  Opção  Limitada,4,5000
ESTI013-17,Sistemas  Microprocessados,4,5000
ESTI015-17,Comunicações  Móveis  Opção Limitada,4,5000
ESTI016-17,Fundamentos  de Fotônica  Opção  Limitada,4,5000
ESTI017-17,Fundamentos de  Eletromagnetismo  Aplicado  ESTI,4,5000
ESTI018-17,Ondas  Eletromagnéticas  Aplicadas  ESTI,4,5000
ESTI019-17,Codificação de  Sinais  Multimídia          Créd.,18,5000
ESTI020-17,Teoria de Filas e  Análise de  Desempenho  ESTI,4,5000
ESTI902-17,TG I em  Engenharia de  Energia  Créd.,24,5000
ESTI903-17,TG II em  Engenharia de  Energia  Créd.,20,5000
ESTI904-17,TG III em  Engenharia de  Energia  Créd.,36,5000
ESTI905-17,Estágio em  Engenharia de  Energia  ESTI,4,5000
