Quadrimestre,Codigo,Disciplina,Creditos
Quadrimestre 1 (Noturno),BCJ0203-15,Fenômenos Eletromagnéticos,5
Quadrimestre 1 (Noturno),BCK0103-15,Física Quântica,3
Quadrimestre 1 (Noturno),BCK0103-22,Física Quântica,3
Quadrimestre 1 (Noturno),BCL0308-15,Bioquímica,4
Quadrimestre 1 (Noturno),BCM0504-15,Natureza da Informação,3
Quadrimestre 1 (Noturno),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,18
Quadrimestre 2 (Misto),BCM0505-15,Processamento  da Informação  BCJ,4
Quadrimestre 2 (Misto),BCN0404-15,Geometria Analítica,3
Quadrimestre 2 (Misto),BCN0404-22,Geometria Analítica,3
Quadrimestre 2 (Misto),BCN0405-15,Introdução às Equações Diferenciais Ordinárias,4
Quadrimestre 2 (Misto),BCN0406-15,Introdução à  Probabilidade e à  Estatística  ESTO,4
Quadrimestre 2 (Misto),BCN0407-15,Funções de Várias Variáveis,4
Quadrimestre 2 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,22
Quadrimestre 3 (Misto),BCSO001-15,Base  Experimental das  Ciências Naturais  BIK,4
Quadrimestre 3 (Misto),BIN406-15,-  Introdução à  Probabilidade e  à Estatística  ESTO,4
Quadrimestre 3 (Misto),BIR0004-15,Bases Epistemológicas da Ciência Moderna,3
Quadrimestre 3 (Misto),ESTI002-17,Eletrônica Digital,6
Quadrimestre 3 (Misto),ESTI003-17,Transformadas em  Sinais e Sistemas  Lineares,4
Quadrimestre 3 (Misto),ESTI004-17,Príncipios de  Comunicação          Créd.,20
Quadrimestre 3 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,41
Quadrimestre 4 (Misto),ESTI005-17,Sinais Aleatórios  Opção  Limitada,4
Quadrimestre 4 (Misto),ESTI006-17,Processamento Digital  de Sinais,4
Quadrimestre 4 (Misto),ESTI007-17,Comunicação  Digital  ESTI,4
Quadrimestre 4 (Misto),ESTI008-17,Teoria da  Informação e  Códigos  ESTI,4
Quadrimestre 4 (Misto),ESTI010-17,Comunicações  Ópticas  Opção  Limitada,4
Quadrimestre 4 (Misto),ESTI013-17,Sistemas  Microprocessados,4
Quadrimestre 4 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,24
Quadrimestre 5 (Misto),ESTI015-17,Comunicações  Móveis  Opção Limitada,4
Quadrimestre 5 (Misto),ESTI016-17,Fundamentos  de Fotônica  Opção  Limitada,4
Quadrimestre 5 (Misto),ESTI017-17,Fundamentos de  Eletromagnetismo  Aplicado  ESTI,4
Quadrimestre 5 (Misto),ESTI018-17,Ondas  Eletromagnéticas  Aplicadas  ESTI,4
Quadrimestre 5 (Misto),ESTI019-17,Codificação de  Sinais  Multimídia          Créd.,18
Quadrimestre 5 (Misto),ESTI020-17,Teoria de Filas e  Análise de  Desempenho  ESTI,4
Quadrimestre 5 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,38
Quadrimestre 6 (Misto),ESTI902-17,TG I em  Engenharia de  Energia  Créd.,24
Quadrimestre 6 (Misto),ESTI903-17,TG II em  Engenharia de  Energia  Créd.,20
Quadrimestre 6 (Misto),ESTI904-17,TG III em  Engenharia de  Energia  Créd.,36
Quadrimestre 6 (Misto),ESTI905-17,Estágio em  Engenharia de  Energia  ESTI,4
Quadrimestre 6 (Misto),ESTO0005-17,Introdução às engenharias,2
Quadrimestre 6 (Misto),ESTO0006-17,Materiais e suas propriedades,4
Quadrimestre 6 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,90
Quadrimestre 7 (Misto),ESTO001-17,Circuitos Elétricos e  Fotônica,4
Quadrimestre 7 (Misto),ESTO0013-17,Engenharia  econômica  ESTO,4
Quadrimestre 7 (Misto),ESTO004-17,Instrumentação e  Controle,4
Quadrimestre 7 (Misto),ESTO008-17,Mecânica dos Sólidos I,4
Quadrimestre 7 (Misto),ESTO012-17,Princípios de  Administração,2
Quadrimestre 7 (Misto),ESTO013-17,Engenharia Econômica,4
Quadrimestre 7 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,22
Quadrimestre 8 (Misto),ESTO014-17,Termodinâmica  Aplicada I,4
